Date,Close,High,Low,Open,Volume,MA7,Lag1,Lag2,Volatility,Target
2025-10-15,1452.1690673828125,1466.1549121391147,1445.373081319078,1461.5258266826634,6986098,1468.2654331752233,1467.435302734375,1470.6854248046875,0.0140854081338005,1449.312744140625
2025-10-16,1449.312744140625,1452.267510183725,1438.478601982591,1451.6765810210527,8005748,1470.0945870535713,1452.1690673828125,1467.435302734375,0.013172619289914759,1419.37109375
2025-10-17,1419.37109375,1436.410292725158,1412.3781714796953,1432.9630656678505,16959378,1462.5106898716517,1449.312744140625,1452.1690673828125,0.010536568100917852,1438.87255859375
2025-10-20,1438.87255859375,1444.8805586841174,1428.136884861602,1431.781048131079,6994246,1455.700648716518,1419.37109375,1449.312744140625,0.011577167854607136,1450.19921875
2025-10-21,1450.19921875,1463.5941342911037,1447.8353818357486,1455.7147580634262,1698704,1449.7207728794642,1438.87255859375,1419.37109375,0.012166182425500164,1505.4532470703125
2025-10-23,1505.4532470703125,1522.6893817276436,1483.292502510887,1487.2321904325627,20358624,1454.6876046316963,1450.19921875,1438.87255859375,0.018976523223103548,1502.4000244140625
2025-10-24,1502.4000244140625,1519.7346273554492,1495.111577657532,1516.2874003977408,8652257,1459.6825648716517,1505.4532470703125,1450.19921875,0.018967533168633834,1504.5
2025-10-27,1504.5,1515.300048828125,1498.0999755859375,1510.0,7273211,1467.158412388393,1502.4000244140625,1505.4532470703125,0.018024535490429518,1500.199951171875
2025-10-28,1500.199951171875,1506.5,1490.5,1499.699951171875,8211019,1474.428013392857,1504.5,1502.4000244140625,0.018086700729222287,1510.4000244140625
2025-10-29,1510.4000244140625,1520.199951171875,1496.9000244140625,1500.199951171875,4884976,1487.4321463448662,1500.199951171875,1504.5,0.014115449800074665,1493.800048828125
2025-10-30,1493.800048828125,1508.199951171875,1489.0999755859375,1507.0,5608867,1495.2789306640625,1510.4000244140625,1500.199951171875,0.015734390675265116,1482.300048828125
2025-10-31,1482.300048828125,1497.0999755859375,1480.699951171875,1490.0,4819814,1499.8647635323662,1493.800048828125,1510.4000244140625,0.01642379451423824,1485.5
